Track Name,Artist Name,Album,Year,Popularity
LALA,Myke Towers,LA VIDA ES UNA,2023,86
Arena y Sal,Omar Montes,Arena y Sal,2023,83
BABY HELLO,Rauw Alejandro,BABY HELLO,2023,88
Los del Espacio,LIT killah,Los del Espacio,2023,94
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023,92
POLARIS - Remix,Saiko,POLARIS (Remix),2023,89
COCO LOCO,Maluma,COCO LOCO,2023,85
No_se_ve.mp3,Emilia,No_se_ve.mp3,2023,88
Clavaito,Chanel,Clavaito,2023,85
MOJABI GHOST,Tainy,DATA,2023,86
VAGABUNDO,Sebastian Yatra,VAGABUNDO,2023,91
Supernova,Saiko,Supernova,2023,85
WHERE SHE GOES,Bad Bunny,WHERE SHE GOES,2023,99
El Cielo,Sky Rompiendo,El Cielo,2023,93
EL TONTO,Lola Indigo,EL DRAGÓN,2023,84
El Merengue,Marshmello,El Merengue,2023,92
PLAYA DEL INGLÉS,Quevedo,DONDE QUIERO ESTAR,2023,84
Niña Bonita,Feid,Niña Bonita,2023,90
PASIEMPRE,Tainy,DATA,2023,80
La Bebe - Remix,Yng Lvcas,La Bebe (Remix),2023,100
Cupido,TINI,Cupido,2023,85
Coco Chanel,Eladio Carrion,3MEN2 KBRN,2023,93
Se Grita,Morad,Reinsertado,2023,80
Mami Chula,Jhayco,Mami Chula,2023,86
Classy 101,Feid,Classy 101,2023,97
Si La Calle Llama - Remix,Eladio Carrion,3MEN2 KBRN,2023,87
BESO,ROSALÍA,RR,2023,96
Nochentera,Vicco,Nochentera,2022,83
MERCHO,LiL CaKe,MERCHO,2022,89
LA BABY,Tainy,LA BABY,2023,77
Yandel 150,Yandel,Yandel 150,2022,90
Pacto (feat. Luar La L),Jay Wheeler,Pacto (feat. Luar La L),2023,81
LAS BABYS,Aitana,LAS BABYS,2023,82
WANDA,Quevedo,DONDE QUIERO ESTAR,2023,87
Copa Vacía,Shakira,Copa Vacía,2023,82
AMARGURA,KAROL G,MAÑANA SERÁ BONITO,2023,92
Flow Violento - Remix,YoSoyPlex,Flow Violento (Remix),2023,77
Las Bratz (Remix),Aissa,Las Bratz (Remix),2023,76
don't liE,Duki,Antes de Ameri,2023,79
Antes,Rvfv,Antes,2023,78
TUYA,ROSALÍA,TUYA,2023,87
CORAZÓN VACÍO,Maria Becerra,CORAZÓN VACÍO,2023,85
Arranca (feat. Omega),Becky G,Arranca (feat. Omega),2023,86
La Fiesta,Pedro Capó,La Neta,2022,76
Ella Baila Sola,Eslabon Armado,Ella Baila Sola,2023,98
Todo Contigo,Álvaro De Luna,Todo Contigo,2023,80
Chulo pt.2,Bad Gyal,Chulo pt.2,2023,80
Los Ángeles,Aitana,Los Ángeles,2023,83
En Alta,J Balvin,En Alta (Quevedo),2023,75
Rara Vez,Taiu,Rara Vez,2023,91
COCO LOCO,Maluma,COCO LOCO,2023,85
Estoy aquí (feat. La Pegatina),Despistaos,Estoy aquí (feat. La Pegatina),2023,61
Copa Vacía,Shakira,Copa Vacía,2023,82
Olvidé Olvidarte,Marlon,Olvidé Olvidarte,2023,65
VAGABUNDO,Sebastian Yatra,VAGABUNDO,2023,91
Algo Sencillito,Marta Santos,Algo Sencillito,2023,69
LALA,Myke Towers,LA VIDA ES UNA,2023,86
Frenesí,Danny Romero,Frenesí,2023,53
No_se_ve.mp3,Emilia,No_se_ve.mp3,2023,88
MOJABI GHOST,Tainy,DATA,2023,86
DOS PRIMAVERAS,Nil Moliner,MEZCALITO,2023,66
Canción de pop,Funzo & Baby Loud,Canción de pop,2023,63
El Wey,zzoilo,El Wey,2023,65
La Fiesta,Pedro Capó,La Fiesta,2022,75
Una Noche Sin Pensar,Sebastian Yatra,Una Noche Sin Pensar,2023,79
Maníaca,Abraham Mateo,Maníaca,2023,68
Qué bonita,DePol,Qué bonita,2022,68
LICÁNTROPO,Belén Aguilera,LICÁNTROPO,2023,57
Todo Contigo,Álvaro De Luna,Todo Contigo,2023,80
El Fin del Mundo,La La Love You,La la Love You Bonus,2020,71
Clavaito,Chanel,Clavaito,2023,85
Ibiza,DePol,Ibiza,2023,65
La Noche Perfecta,Antonio José,La Noche Perfecta,2023,67
El Principio de algo,La La Love You,El Principio de algo,2023,65
Un Clásico,Ana Mena,Un Clásico,2023,68
Pasa_je_ro,Farruko,Pasa_je_ro,2023,71
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023,92
Esta Vida,Marshmello,Esta Vida,2023,83
EL TONTO,Lola Indigo,EL DRAGÓN,2023,84
CORAZÓN VACÍO,Maria Becerra,CORAZÓN VACÍO,2023,85
SANTORINI (feat. Marmi),Enol,OCHO ESTRELLAS,2022,68
Beber x Beber,zzoilo,Beber x Beber,2023,62
Mil Laberintos,Ters,Mil Laberintos,2023,63
Déjalo En Visto,Piso 21,Déjalo En Visto,2023,69
LAS BABYS,Aitana,LAS BABYS,2023,82
Te Miro A La Cara,Daviles de Novelda,Te Miro A La Cara,2023,71
SI ELLA SUPIERA,India Martinez,SI ELLA SUPIERA,2022,68
ME MATA(S),Noan,ME MATA(S),2022,59
Que Te Vaya Bonito,Paula Koops,Que Te Vaya Bonito,2023,59
El Merengue,Marshmello,El Merengue,2023,92
CORAZONES ROTOS,Lola Indigo,CORAZONES ROTOS,2023,68
PORTARSE MAL,Álvaro De Luna,PORTARSE MAL,2023,66
Diablo,Beret,Diablo,2022,66
Nochentera,Vicco,Nochentera,2022,83
La Musiquita,Daviles de Novelda,La Musiquita,2022,67
Cupido,TINI,Cupido,2023,85
Espinita Clavá,Lérica,Espinita Clavá,2022,61
Quién Diría,DePol,Quién Diría,2022,70
Los Ángeles,Aitana,Los Ángeles,2023,83
Bebiendo Sola,Camilo,De Adentro Pa Afuera,2022,73
Arranca (feat. Omega),Becky G,Arranca (feat. Omega),2023,86
La Idea,Abraham Mateo,La Idea,2023,64
Copita Champagne,Mireya Rivas,Copita Champagne,2023,41
Tu Nombre,Álvaro De Luna,Tu Nombre,2022,60
Querernos De Nuevo,Sebastián Cortés,Querernos De Nuevo,2023,45
Beso robado,Beret,Beso robado,2022,66
MEZCALITO,Nil Moliner,MEZCALITO,2023,61
Los del Espacio,LIT killah,Los del Espacio,2023,94
tqum,Sofía Reyes,tqum,2023,77
Acróstico,Shakira,Acróstico,2023,92
Último Baile,MARLENA,Último Baile,2023,60
"Un, Dos, Tres",Ters,"Un, Dos, Tres",2023,49
Todo Me Da Igual,Vicco,Todo Me Da Igual,2023,60
Tiro Al Aire,Samuraï,Tiro Al Aire,2023,60
TUYA,ROSALÍA,TUYA,2023,87
TE QUIERO,Ainoa Buitrago,TE QUIERO,2023,56
MI BANDERA,Nil Moliner,MEZCALITO,2023,62
SÚBEME EL VOLUMEN,Nil Moliner,MEZCALITO,2023,58
En el mismo bar,De Rancho,En el mismo bar,2023,55
Semanas,Charlie USG,Semanas,2023,62
Himno (para los que están jodidos),La La Love You,Himno (para los que están jodidos),2023,61
"Manos Frías (con Reik, Beéle)",Mau y Ricky,"Manos Frías (con Reik, Beéle)",2023,77
La Bachata,Marta Santos,La Bachata,2022,70
5 SENTÍOS,India Martinez,5 SENTÍOS,2022,64
Como Yo :(,Marshmello,Como Yo :(,2023,79
VAGABUNDO,Sebastian Yatra,VAGABUNDO,2023,91
LALA,Myke Towers,LA VIDA ES UNA,2023,86
El Merengue,Marshmello,El Merengue,2023,92
La Bebe - Remix,Yng Lvcas,La Bebe (Remix),2023,100
Nochentera,Vicco,Nochentera,2022,83
WHERE SHE GOES,Bad Bunny,WHERE SHE GOES,2023,99
Clavaito,Chanel,Clavaito,2023,85
Rayos de Sol,José de Rico,Rayos de Sol,2011,66
Ella Baila Sola,Eslabon Armado,Ella Baila Sola,2023,98
BESO,ROSALÍA,RR,2023,96
LAS BABYS,Aitana,LAS BABYS,2023,82
TQG,KAROL G,MAÑANA SERÁ BONITO,2023,95
La Historia,El Taiger,La Historia,2020,73
Los del Espacio,LIT killah,Los del Espacio,2023,94
LAS 12,Ana Mena,bellodrama,2023,67
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",2022,94
El Cielo,Sky Rompiendo,El Cielo,2023,93
Coco Chanel,Eladio Carrion,3MEN2 KBRN,2023,93
Hey Mor,Ozuna,OzuTochi,2022,92
Ojitos Lindos,Bad Bunny,Un Verano Sin Ti,2022,91
Rara Vez,Taiu,Rara Vez,2023,91
Niña Bonita,Feid,Niña Bonita,2023,90
MIENTRAS ME CURO DEL CORA,KAROL G,MAÑANA SERÁ BONITO,2023,90
La Bachata,Manuel Turizo,La Bachata,2022,90
Yandel 150,Yandel,Yandel 150,2022,90
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023,92
MERCHO,LiL CaKe,MERCHO,2022,89
POLARIS - Remix,Saiko,POLARIS (Remix),2023,89
No_se_ve.mp3,Emilia,No_se_ve.mp3,2023,88
BABY HELLO,Rauw Alejandro,BABY HELLO,2023,88
Gasolina,Daddy Yankee,Barrio Fino (Bonus Track Version),2004,88
WANDA,Quevedo,DONDE QUIERO ESTAR,2023,87
MOJABI GHOST,Tainy,DATA,2023,86
TUYA,ROSALÍA,TUYA,2023,87
Dile,Don Omar,The Last Don,2003,87
Pepas,Farruko,Pepas,2021,86
Besos Moja2,Wisin & Yandel,La Última Misión,2022,86
PUNTO G,Quevedo,DONDE QUIERO ESTAR,2023,86
Arranca (feat. Omega),Becky G,Arranca (feat. Omega),2023,86
Cupido,TINI,Cupido,2023,85
COCO LOCO,Maluma,COCO LOCO,2023,85
Supernova,Saiko,Supernova,2023,85
"Lo Que Pasó, Pasó",Daddy Yankee,Barrio Fino (Bonus Track Version),2004,84
DESPECHÁ,ROSALÍA,DESPECHÁ,2022,84
Tiroteo - Remix,Marc Seguí,Tiroteo (Remix),2021,84
PLAYA DEL INGLÉS,Quevedo,DONDE QUIERO ESTAR,2023,84
EL TONTO,Lola Indigo,EL DRAGÓN,2023,84
Arena y Sal,Omar Montes,Arena y Sal,2023,83
Copa Vacía,Shakira,Copa Vacía,2023,82
Los Ángeles,Aitana,Los Ángeles,2023,83
Esta Vida,Marshmello,Esta Vida,2023,83
Mon Amour - Remix,zzoilo,Mon Amour (Remix),2021,83
A Tu Merced,Bad Bunny,YHLQMDLG,2020,82
Todo De Ti,Rauw Alejandro,Todo De Ti,2021,82
"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",2021,82
BEACHY,Daddy Yankee,BEACHY,2023,81
Otra vez (feat. J Balvin),Zion & Lennox,Motivan2,2016,80
Obsesion,Aventura,We Broke The Rules,2002,80
Enséñame a Bailar,Bad Bunny,Un Verano Sin Ti,2022,81
CAIRO,KAROL G,CAIRO,2022,80
Tacones Rojos,Sebastian Yatra,Dharma,2022,80
Limbo,Daddy Yankee,Prestige,2012,80
Me Rehúso,Danny Ocean,Me Rehúso,2016,80
Agosto,Bad Bunny,Un Verano Sin Ti,2022,81
Todo Contigo,Álvaro De Luna,Todo Contigo,2023,80
Te Pintaron Pajaritos,Yandar & Yostin,Te Pintaron Pajaritos,2016,80
Atrévete-Te-Te,Calle 13,Calle 13 (Explicit Version),2005,79
Dile Que Tu Me Quieres,Ozuna,Odisea,2017,79
China,Anuel AA,China,2019,79
Antes,Rvfv,Antes,2023,78
Criminal,NATTI NATASHA,Criminal,2017,78
Ella Me Levanto,Daddy Yankee,El Cartel: The Big Boss,2007,79
La Gozadera (feat. Marc Anthony),Gente De Zona,Visualízate,2016,78
APA,Mora,PARAÍSO,2022,78
Candy,Plan B,Love And Sex,2014,77
MI DROGA,Myke Towers,LA VIDA ES UNA,2023,77
Una Vaina Loca,Fuego,Una Vaina Loca,2011,77
Mayores,Becky G,MALA SANTA,2019,76
Jerusalema (feat. Nomcebo Zikode),Master KG,Jerusalema,2020,76
Hasta el Amanecer,Nicky Jam,Fénix,2017,76
Formentera,Aitana,Formentera,2021,76
SIN SEÑAL,Quevedo,SIN SEÑAL,2022,76
Bonita,J Balvin,Bonita,2017,76
mariposas,sangiovanni,mariposas,2022,75
Del Mar,Ozuna,ENOC,2020,75
Dale Don Dale,Don Omar,The Last Don,2003,75
La Fiesta,Pedro Capó,La Fiesta,2022,75
ULALA (OOH LA LA),Myke Towers,ULALA (OOH LA LA),2022,75
Soltera (Remix),Lunay,Soltera (Remix),2019,75
Báilame - Remix,Nacho,La Criatura,2018,74
T'as peur,Aya Nakamura,T'as peur,2023,74
Quiero Decirte,Abraham Mateo,Quiero Decirte,2022,74
Loco,Justin Quiles,Loco,2021,74
Baila Conmigo (feat. Kelly Ruiz),Dayvi,Baila Conmigo (feat. Kelly Ruiz),2018,73
Bailando - Spanish Version,Enrique Iglesias,SEX AND LOVE (Deluxe),2014,73
La Playa,Myke Towers,La Playa,2019,73
Ateo,C. Tangana,Ateo,2021,72
No Es Justo,J Balvin,Vibras,2018,72
Sin Pijama,Becky G,Sin Pijama,2018,71
Contando Lunares (feat. Cruz Cafuné),Don Patricio,La Dura Vida del Joven Rapero,2019,71
Copa Vacía,Shakira,Copa Vacía,2023,82
VAGABUNDO,Sebastian Yatra,VAGABUNDO,2023,91
un x100to,Grupo Frontera,un x100to,2023,99
MOJABI GHOST,Tainy,DATA,2023,86
CORAZÓN VACÍO,Maria Becerra,CORAZÓN VACÍO,2023,85
Déjalo En Visto,Piso 21,Déjalo En Visto,2023,69
COCO LOCO,Maluma,COCO LOCO,2023,85
BABY HELLO,Rauw Alejandro,BABY HELLO,2023,88
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023,92
Acróstico,Shakira,Acróstico,2023,92
TUYA,ROSALÍA,TUYA,2023,87
Como Yo :(,Marshmello,Como Yo :(,2023,79
LAS BABYS,Aitana,LAS BABYS,2023,82
Pasa_je_ro,Farruko,Pasa_je_ro,2023,71
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,"Peso Pluma: Bzrp Music Sessions, Vol. 55",2023,98
"Manos Frías (con Reik, Beéle)",Mau y Ricky,"Manos Frías (con Reik, Beéle)",2023,77
BESO,ROSALÍA,RR,2023,96
Guerrero.mp3,Emilia,Guerrero.mp3,2023,71
WHERE SHE GOES,Bad Bunny,WHERE SHE GOES,2023,99
Funk Rave,Anitta,Funk Rave,2023,82
Los del Espacio,LIT killah,Los del Espacio,2023,94
Ocean,Boza,Sin Sol,2023,69
El Merengue,Marshmello,El Merengue,2023,92
Obvio,Llane,Obvio,2023,65
tqum,Sofía Reyes,tqum,2023,77
MIENTRAS ME CURO DEL CORA,KAROL G,MAÑANA SERÁ BONITO,2023,90
Sin Gato (MIAU!),Rels B,Sin Gato (MIAU!),2023,81
1Trago,Danna Paola,1Trago,2023,76
En Otra Vida,Andrés Cepeda,Décimo Cuarto,2023,68
69,Nicky Jam,69,2023,87
Arranca (feat. Omega),Becky G,Arranca (feat. Omega),2023,86
Me Enteré,Tiago PZK,Me Enteré,2023,88
Ojitos Lindos,Bad Bunny,Un Verano Sin Ti,2022,91
qué le pasa conmigo?,Nicki Nicole,qué le pasa conmigo?,2023,81
TQG,KAROL G,MAÑANA SERÁ BONITO,2023,95
Por el Resto de Tu Vida,Christian Nodal,Por el Resto de Tu Vida,2023,81
Tú Y Tú,Los Ángeles Azules,Tú Y Tú,2023,67
Corazón,Mike Bahía,Contigo,2023,71
Que Se Parezca A Ti,Tiago PZK,Portales (Deluxe Edition),2023,76
No_se_ve.mp3,Emilia,No_se_ve.mp3,2023,88
Malas Decisiones,Kenia OS,K23,2022,85
La Bachata,Manuel Turizo,La Bachata,2022,90
Correcaminos,Alejandro Sanz,Correcaminos,2023,73
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",2023,93
Los Ángeles,Aitana,Los Ángeles,2023,83
Abajito,Lele Pons,Abajito,2023,67
La Reina,Maluma,La Reina,2023,76
DESPECHÁ,ROSALÍA,DESPECHÁ,2022,84
Tormenta (feat. Bad Bunny),Gorillaz,Cracker Island,2023,83
X SI VOLVEMOS,KAROL G,X SI VOLVEMOS,2023,83
MIENTRAS ME CURO DEL CORA,KAROL G,MAÑANA SERÁ BONITO,2023,90
Mon Amour - Remix,zzoilo,Mon Amour (Remix),2021,83
Corazón partío,Alejandro Sanz,Más,1997,79
